"","x","y","z"
"1",0,190,"#6c635e"
"2",1,190,"#6c635e"
"3",2,190,"#6c635e"
"4",3,190,"#6c635e"
"5",4,190,"#6d645f"
"6",5,190,"#6e6560"
"7",6,190,"#706561"
"8",7,190,"#706561"
"9",8,190,"#6f6661"
"10",9,190,"#6f6661"
"11",10,190,"#706762"
"12",11,190,"#706762"
"13",12,190,"#6f6862"
"14",13,190,"#6f6862"
"15",14,190,"#716a64"
"16",15,190,"#726b65"
"17",16,190,"#706961"
"18",17,190,"#706961"
"19",18,190,"#716a62"
"20",19,190,"#726b63"
"21",20,190,"#736c64"
"22",21,190,"#736c64"
"23",22,190,"#736c64"
"24",23,190,"#746d65"
"25",24,190,"#746d65"
"26",25,190,"#756e66"
"27",26,190,"#766f67"
"28",27,190,"#766f67"
"29",28,190,"#766f67"
"30",29,190,"#777068"
"31",30,190,"#766f67"
"32",31,190,"#766f67"
"33",32,190,"#777068"
"34",33,190,"#787169"
"35",34,190,"#79726a"
"36",35,190,"#79726a"
"37",36,190,"#7a736b"
"38",37,190,"#7c756d"
"39",38,190,"#7b746c"
"40",39,190,"#79726a"
"41",40,190,"#79726a"
"42",41,190,"#79726a"
"43",42,190,"#787169"
"44",43,190,"#787169"
"45",44,190,"#79726a"
"46",45,190,"#7a736b"
"47",46,190,"#7a736b"
"48",47,190,"#7a736b"
"49",48,190,"#767269"
"50",49,190,"#747067"
"51",50,190,"#756e66"
"52",51,190,"#746d65"
"53",52,190,"#726b63"
"54",53,190,"#726b63"
"55",54,190,"#7a766d"
"56",55,190,"#d2cfc6"
"57",56,190,"#e5e2db"
"58",57,190,"#e3e3db"
"59",58,190,"#ddded6"
"60",59,190,"#e8e9e1"
"61",60,190,"#eff2eb"
"62",61,190,"#e3e6df"
"63",62,190,"#e9eae4"
"64",63,190,"#e7e8e2"
"65",64,190,"#e3e4de"
"66",65,190,"#e9eae4"
"67",66,190,"#f3f4ee"
"68",67,190,"#eeefe9"
"69",68,190,"#e4e5df"
"70",69,190,"#d2d3cd"
"71",70,190,"#eff0ea"
"72",71,190,"#fdfef8"
"73",72,190,"#f9faf4"
"74",73,190,"#f9faf4"
"75",74,190,"#fafbf5"
"76",75,190,"#f1f2ec"
"77",76,190,"#e8e9e3"
"78",77,190,"#eaebe5"
"79",78,190,"#eeefe9"
"80",79,190,"#f6f7f1"
"81",80,190,"#f8fbf4"
"82",81,190,"#f8fbf4"
"83",82,190,"#f5f6ee"
"84",83,190,"#f3f4ec"
"85",84,190,"#f3f4ec"
"86",85,190,"#f1f2ea"
"87",86,190,"#f3f4ec"
"88",87,190,"#f9faf2"
"89",88,190,"#f7f8f2"
"90",89,190,"#f7f8f2"
"91",90,190,"#faf7f2"
"92",91,190,"#fffaf6"
"93",92,190,"#b8b0ae"
"94",93,190,"#201414"
"95",94,190,"#3e3030"
"96",95,190,"#463335"
"97",96,190,"#41282b"
"98",97,190,"#3c2326"
"99",98,190,"#442b2e"
"100",99,190,"#493335"
"101",100,190,"#4d393a"
"102",101,190,"#463233"
"103",102,190,"#463233"
"104",103,190,"#453132"
"105",104,190,"#402a2c"
"106",105,190,"#3d2729"
"107",106,190,"#3e2528"
"108",107,190,"#3d2427"
"109",108,190,"#3d2729"
"110",109,190,"#412b2d"
"111",110,190,"#432d2f"
"112",111,190,"#473133"
"113",112,190,"#493335"
"114",113,190,"#483234"
"115",114,190,"#4b3537"
"116",115,190,"#473133"
"117",116,190,"#442e30"
"118",117,190,"#412b2d"
"119",118,190,"#442e30"
"120",119,190,"#402a2c"
"121",120,190,"#422c2e"
"122",121,190,"#452f31"
"123",122,190,"#432d2f"
