"","x","y","z"
"1",0,168,"#090b0a"
"2",1,168,"#090b0a"
"3",2,168,"#090b0a"
"4",3,168,"#090b0a"
"5",4,168,"#090b0a"
"6",5,168,"#090b0a"
"7",6,168,"#090b0a"
"8",7,168,"#090b0a"
"9",8,168,"#0a0a0a"
"10",9,168,"#0a0a0a"
"11",10,168,"#0a0a0a"
"12",11,168,"#0a0a0a"
"13",12,168,"#0a0a0a"
"14",13,168,"#0a0a0a"
"15",14,168,"#0a0a0a"
"16",15,168,"#0a0a0a"
"17",16,168,"#0a0a0c"
"18",17,168,"#0b0b0d"
"19",18,168,"#0d0d0f"
"20",19,168,"#0e0e10"
"21",20,168,"#0e0e10"
"22",21,168,"#0d0d0f"
"23",22,168,"#0c0c0e"
"24",23,168,"#0b0b0d"
"25",24,168,"#0c0c0e"
"26",25,168,"#0c0c0e"
"27",26,168,"#0c0c0e"
"28",27,168,"#0c0c0e"
"29",28,168,"#0c0c0e"
"30",29,168,"#0c0c0e"
"31",30,168,"#0c0c0e"
"32",31,168,"#0c0c0e"
"33",32,168,"#0d0d0f"
"34",33,168,"#0d0d0f"
"35",34,168,"#0d0d0f"
"36",35,168,"#0e0e10"
"37",36,168,"#0e0e10"
"38",37,168,"#0e0e10"
"39",38,168,"#0e0e10"
"40",39,168,"#0e0e10"
"41",40,168,"#0f0f11"
"42",41,168,"#0f0f11"
"43",42,168,"#0f0f11"
"44",43,168,"#0f0f11"
"45",44,168,"#101012"
"46",45,168,"#101012"
"47",46,168,"#101012"
"48",47,168,"#111113"
"49",48,168,"#101012"
"50",49,168,"#101012"
"51",50,168,"#101012"
"52",51,168,"#101012"
"53",52,168,"#101012"
"54",53,168,"#101012"
"55",54,168,"#111113"
"56",55,168,"#111113"
"57",56,168,"#101012"
"58",57,168,"#111113"
"59",58,168,"#121214"
"60",59,168,"#131315"
"61",60,168,"#131315"
"62",61,168,"#131315"
"63",62,168,"#121214"
"64",63,168,"#121214"
"65",64,168,"#141318"
"66",65,168,"#141318"
"67",66,168,"#141318"
"68",67,168,"#141318"
"69",68,168,"#151419"
"70",69,168,"#151419"
"71",70,168,"#151419"
"72",71,168,"#16151a"
"73",72,168,"#17181c"
"74",73,168,"#16171b"
"75",74,168,"#15161a"
"76",75,168,"#15161a"
"77",76,168,"#141519"
