"id","x","y","z"
"1",0,168,"0x090b0a"
"2",1,168,"0x090b0a"
"3",2,168,"0x090b0a"
"4",3,168,"0x090b0a"
"5",4,168,"0x090b0a"
"6",5,168,"0x090b0a"
"7",6,168,"0x090b0a"
"8",7,168,"0x090b0a"
"9",8,168,"0x0a0a0a"
"10",9,168,"0x0a0a0a"
"11",10,168,"0x0a0a0a"
"12",11,168,"0x0a0a0a"
"13",12,168,"0x0a0a0a"
"14",13,168,"0x0a0a0a"
"15",14,168,"0x0a0a0a"
"16",15,168,"0x0a0a0a"
"17",16,168,"0x0a0a0c"
"18",17,168,"0x0b0b0d"
"19",18,168,"0x0d0d0f"
"20",19,168,"0x0e0e10"
"21",20,168,"0x0e0e10"
"22",21,168,"0x0d0d0f"
"23",22,168,"0x0c0c0e"
"24",23,168,"0x0b0b0d"
"25",24,168,"0x0c0c0e"
"26",25,168,"0x0c0c0e"
"27",26,168,"0x0c0c0e"
"28",27,168,"0x0c0c0e"
"29",28,168,"0x0c0c0e"
"30",29,168,"0x0c0c0e"
"31",30,168,"0x0c0c0e"
"32",31,168,"0x0c0c0e"
"33",32,168,"0x0d0d0f"
"34",33,168,"0x0d0d0f"
"35",34,168,"0x0d0d0f"
"36",35,168,"0x0e0e10"
"37",36,168,"0x0e0e10"
"38",37,168,"0x0e0e10"
"39",38,168,"0x0e0e10"
"40",39,168,"0x0e0e10"
"41",40,168,"0x0f0f11"
"42",41,168,"0x0f0f11"
"43",42,168,"0x0f0f11"
"44",43,168,"0x0f0f11"
"45",44,168,"0x101012"
"46",45,168,"0x101012"
"47",46,168,"0x101012"
"48",47,168,"0x111113"
"49",48,168,"0x101012"
"50",49,168,"0x101012"
"51",50,168,"0x101012"
"52",51,168,"0x101012"
"53",52,168,"0x101012"
"54",53,168,"0x101012"
"55",54,168,"0x111113"
"56",55,168,"0x111113"
"57",56,168,"0x101012"
"58",57,168,"0x111113"
"59",58,168,"0x121214"
"60",59,168,"0x131315"
"61",60,168,"0x131315"
"62",61,168,"0x131315"
"63",62,168,"0x121214"
"64",63,168,"0x121214"
"65",64,168,"0x141318"
"66",65,168,"0x141318"
"67",66,168,"0x141318"
"68",67,168,"0x141318"
"69",68,168,"0x151419"
"70",69,168,"0x151419"
"71",70,168,"0x151419"
"72",71,168,"0x16151a"
"73",72,168,"0x17181c"
"74",73,168,"0x16171b"
"75",74,168,"0x15161a"
"76",75,168,"0x15161a"
"77",76,168,"0x141519"
"78",77,168,"0x15161a"
"79",78,168,"0x15161a"
"80",79,168,"0x16171b"
"81",80,168,"0x191a1e"
"82",81,168,"0x191a1e"
"83",82,168,"0x18191d"
"84",83,168,"0x17181c"
"85",84,168,"0x17181c"
"86",85,168,"0x18191d"
"87",86,168,"0x191a1e"
"88",87,168,"0x1a1b1f"
"89",88,168,"0x1a1b1f"
"90",89,168,"0x1a1b1f"
"91",90,168,"0x1a1b1f"
"92",91,168,"0x1b1c20"
"93",92,168,"0x1b1c20"
"94",93,168,"0x1c1d21"
"95",94,168,"0x1c1d21"
"96",95,168,"0x1c1d21"
"97",96,168,"0x1d2025"
"98",97,168,"0x1c1f24"
"99",98,168,"0x1b1e23"
"100",99,168,"0x1b1e23"
"101",100,168,"0x1c1f24"
"102",101,168,"0x1d2025"
"103",102,168,"0x1f2229"
"104",103,168,"0x20232a"
"105",104,168,"0x20232a"
"106",105,168,"0x20232a"
"107",106,168,"0x20232c"
"108",107,168,"0x21242d"
"109",108,168,"0x22252e"
"110",109,168,"0x242730"
"111",110,168,"0x262932"
"112",111,168,"0x262a33"
"113",112,168,"0x272e38"
"114",113,168,"0x262f38"
"115",114,168,"0x242d34"
"116",115,168,"0x232c33"
"117",116,168,"0x292e34"
"118",117,168,"0x2c3137"
"119",118,168,"0x2d3035"
"120",119,168,"0x2b2f32"
"121",120,168,"0x353439"
"122",121,168,"0x3a3a3a"
"123",122,168,"0x424041"
"124",123,168,"0x444341"
"125",124,168,"0x423e3b"
"126",125,168,"0x3f3b38"
"127",126,168,"0x46413d"
"128",127,168,"0x4d4a45"
"129",128,168,"0x555150"
"130",129,168,"0x636260"
"131",130,168,"0x767676"
"132",131,168,"0x828483"
"133",132,168,"0x858988"
"134",133,168,"0x868f8c"
"135",134,168,"0x8f9897"
"136",135,168,"0x96a09f"
"137",136,168,"0x9ca8a8"
"138",137,168,"0xa0acac"
"139",138,168,"0xa3adaf"
"140",139,168,"0xa5afb1"
"141",140,168,"0xabb4b9"
"142",141,168,"0xb3bcc1"
"143",142,168,"0xb8bfc7"
"144",143,168,"0xb7bec6"
"145",144,168,"0xbac3ca"
"146",145,168,"0xbdc6cd"
"147",146,168,"0xc2c9d1"
"148",147,168,"0xc5ccd4"
"149",148,168,"0xc8cfd9"
"150",149,168,"0xcbd2dc"
"151",150,168,"0xced5df"
"152",151,168,"0xd0d7e1"
"153",152,168,"0xd2d9e1"
"154",153,168,"0xd4dbe3"
"155",154,168,"0xd7dee4"
"156",155,168,"0xd9e0e6"
"157",156,168,"0xdae2e5"
"158",157,168,"0xdbe3e6"
"159",158,168,"0xdfe4e7"
"160",159,168,"0xe1e6e9"
"161",160,168,"0xe4eaea"
"162",161,168,"0xe5ebeb"
"163",162,168,"0xe6ecea"
"164",163,168,"0xe8eeec"
"165",164,168,"0xeaeeed"
"166",165,168,"0xebefee"
"167",166,168,"0xebf0ec"
"168",167,168,"0xecf1ed"
"169",168,168,"0xedf2ee"
"170",169,168,"0xedf2ee"
"171",170,168,"0xf0f2ed"
"172",171,168,"0xf1f3ee"
"173",172,168,"0xf2f5ee"
"174",173,168,"0xf2f5ee"
"175",174,168,"0xf2f5ee"
"176",175,168,"0xf2f5ee"
"177",176,168,"0xf4f5f0"
"178",177,168,"0xf4f5f0"
"179",178,168,"0xf4f5f0"
"180",179,168,"0xf4f5f0"
"181",180,168,"0xf3f4ef"
"182",181,168,"0xf3f4ef"
"183",182,168,"0xf2f3ee"
"184",183,168,"0xf2f3ee"
"185",184,168,"0xeff1ec"
"186",185,168,"0xf0f2ed"
"187",186,168,"0xf0f2ed"
"188",187,168,"0xeff1ec"
"189",188,168,"0xeef0eb"
"190",189,168,"0xedefea"
"191",190,168,"0xebede8"
"192",191,168,"0xeaece7"
"193",192,168,"0xe9ebe8"
"194",193,168,"0xe7e9e6"
"195",194,168,"0xe5e7e4"
"196",195,168,"0xe3e5e2"
"197",196,168,"0xe2e4e3"
"198",197,168,"0xe1e3e2"
"199",198,168,"0xdce0e1"
"200",199,168,"0xdbdfe0"
"201",200,168,"0xdadedf"
"202",201,168,"0xdadedf"
"203",202,168,"0xdbdfe2"
"204",203,168,"0xdbdfe2"
"205",204,168,"0xdadfe2"
"206",205,168,"0xdadfe2"
"207",206,168,"0xd9dee2"
"208",207,168,"0xd9dee2"
"209",208,168,"0xd7dfe2"
"210",209,168,"0xd6dee1"
"211",210,168,"0xd6dee1"
"212",211,168,"0xd6dee1"
"213",212,168,"0xd7dfe2"
"214",213,168,"0xd7dfe2"
"215",214,168,"0xd8dde1"
"216",215,168,"0xd7dce0"
"217",216,168,"0xd8dde1"
"218",217,168,"0xd5dade"
"219",218,168,"0xd0d5d9"
"220",219,168,"0xccd1d5"
"221",220,168,"0xcccfd4"
"222",221,168,"0xcbced3"
"223",222,168,"0xcacdd2"
"224",223,168,"0xc9ccd1"
"225",224,168,"0xc6cbcf"
"226",225,168,"0xc5cace"
"227",226,168,"0xc4c9cd"
"228",227,168,"0xc4c9cd"
"229",228,168,"0xc4c9cd"
"230",229,168,"0xc4c9cd"
"231",230,168,"0xc5cace"
"232",231,168,"0xc6cbcf"
"233",232,168,"0xc6cacd"
"234",233,168,"0xc6cacd"
"235",234,168,"0xc6cacd"
"236",235,168,"0xc6cacd"
"237",236,168,"0xc7cbce"
"238",237,168,"0xc6cacd"
"239",238,168,"0xc5c9cc"
"240",239,168,"0xc3c7ca"
"241",240,168,"0xc4c8cb"
"242",241,168,"0xc4c8cb"
"243",242,168,"0xc2c6c7"
"244",243,168,"0xc1c5c6"
"245",244,168,"0xc1c5c6"
"246",245,168,"0xc1c5c6"
"247",246,168,"0xc4c6c5"
"248",247,168,"0xc5c7c6"
"249",248,168,"0xc4c6c5"
"250",249,168,"0xc3c5c4"
"251",250,168,"0xc3c5c2"
"252",251,168,"0xc4c6c3"
"253",252,168,"0xc6c8c5"
"254",253,168,"0xc6c8c5"
"255",254,168,"0xc5c6c1"
"256",255,168,"0xc3c4bf"
"257",256,168,"0xc6c6c4"
"258",257,168,"0xc5c5c3"
"259",258,168,"0xc5c6c1"
"260",259,168,"0xc7c8c2"
"261",260,168,"0xc9cac4"
"262",261,168,"0xcbccc4"
"263",262,168,"0xcbcdc2"
"264",263,168,"0xcbcdc2"
"265",264,168,"0xcacabe"
"266",265,168,"0xcacabe"
"267",266,168,"0xc9c9bd"
"268",267,168,"0xc6c6ba"
"269",268,168,"0xc4c4ba"
"270",269,168,"0xc0c0b6"
"271",270,168,"0xbebeb4"
"272",271,168,"0xbcbcb2"
"273",272,168,"0xbbbbb1"
"274",273,168,"0xbabab0"
"275",274,168,"0xb8b8ae"
"276",275,168,"0xb6b6ac"
"277",276,168,"0xb4b4ac"
"278",277,168,"0xb3b3ab"
"279",278,168,"0xb2b2aa"
"280",279,168,"0xb1b1a9"
"281",280,168,"0xadaea8"
"282",281,168,"0xacada7"
"283",282,168,"0xabaca6"
"284",283,168,"0xaaaba5"
"285",284,168,"0xa9aaa5"
"286",285,168,"0xa8a9a4"
"287",286,168,"0xa6a7a2"
"288",287,168,"0xa4a5a0"
"289",288,168,"0xa2a2a0"
"290",289,168,"0xa0a09e"
